"","CD_U2A","LB_U2A","CD_STR","CD_DEPT","LB_DEPT","CD_REGION","LB_REGION","VILLE","DEPT","coord.lat","coord.lng"
"67","U05","DD des Hautes Alpes",9,5,"DD DES HAUTES-ALPES","93","PROVENCE-ALPES-COTE-D AZUR","Hautes%20Alpes","Hautes-Alpes",44.561331,6.09552
"68","U0501","Centre de distribution de Laragne",166,5,"DD DES HAUTES-ALPES","93","PROVENCE-ALPES-COTE-D AZUR","Laragne","Hautes-Alpes",44.2320818,5.8553242
"69","U0502","FERME CD de Veynes",166,5,"DD DES HAUTES-ALPES","93","PROVENCE-ALPES-COTE-D AZUR","Veynes","Hautes-Alpes",44.540798,5.825865
"70","U0503","Centre de distribution de Gap",164,5,"DD DES HAUTES-ALPES","93","PROVENCE-ALPES-COTE-D AZUR","Gap","Hautes-Alpes",44.559638,6.079758
"71","U0504","Centre distribution de Guillestre",163,5,"DD DES HAUTES-ALPES","93","PROVENCE-ALPES-COTE-D AZUR","Guillestre","Hautes-Alpes",44.6610919,6.649365
"72","U0505","Centre distribution d'Embrun",163,5,"DD DES HAUTES-ALPES","93","PROVENCE-ALPES-COTE-D AZUR","Embrun","Hautes-Alpes",44.564164,6.495865
"73","U0506","FERME CD de Briancon",162,5,"DD DES HAUTES-ALPES","93","PROVENCE-ALPES-COTE-D AZUR","Briancon","Hautes-Alpes",44.899416,6.643179
"74","U0507","Distribution itinerante de Gap",164,5,"DD DES HAUTES-ALPES","93","PROVENCE-ALPES-COTE-D AZUR","itinerante%20Gap","Hautes-Alpes",44.559638,6.079758
"75","U0508","Samu social de Gap",164,5,"DD DES HAUTES-ALPES","93","PROVENCE-ALPES-COTE-D AZUR","Gap","Hautes-Alpes",44.559638,6.079758
"76","U0509","Samu social d'Embrun",163,5,"DD DES HAUTES-ALPES","93","PROVENCE-ALPES-COTE-D AZUR","Embrun","Hautes-Alpes",44.564164,6.495865
"77","U06","DD des Alpes Maritimes",10,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Alpes%20Maritimes","Alpes-Maritimes",43.6724362,7.1985908
"78","U0601","Centre distribution de Vence",177,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Vence","Alpes-Maritimes",43.7223216,7.1117033
"79","U0602","Centre distribution de St Laurent du Var",2122,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","St%20Laurent%20Var","Alpes-Maritimes",43.673417,7.189811
"80","U0603","Centre de distribution Cagnes-sur-Mer",172,6,"DD DES ALPES-MARITIMES","93","PROVENCE-ALPES-COTE-D AZUR","Cagnes-sur-Mer","Alpes-Maritimes",43.663739,7.14882
