CODE QUARTIER,DÉPARTEMENT	,COMMUNES CONCERNÉES
QP033002,33,Yser - Pont de Madame,Mérignac
QP033003,33,Quartier du centre,Coutras
QP033004,33,Quartier Bourg,Sainte-Foy-la-Grande Pineuilh
QP033005,33,Quartier de l'Avenir,Bassens
QP033006,33,Carle Vernet -Terres Neuves,Bègles Bordeaux
QP033007,33,Le Lac,Bordeaux
QP033008,33,Saint-Michel,Bordeaux
QP033009,33,Benauge - Henri Sellier - Léo Lagrange,Bordeaux Cenon
QP033010,33,Grand-Parc,Bordeaux
QP033011,33,Bacalan,Bordeaux
QP033012,33,Palmer - Saraillère - 8 Mai 45 - Dravemont,Cenon Floirac
QP033013,33,Grand Caillou,Eysines
QP033014,33,Jean-Jaurès,Floirac
QP033015,33,Barthez,Gradignan
QP033016,33,Carriet,Lormont
QP033017,33,Génicart Est,Lormont
QP033018,33,Alpilles-Vincennes-Bois Fleuri,Lormont
QP033019,33,Beaudésert,Mérignac
QP033020,33,Châtaigneraie - Arago,Pessac
QP033021,33,Saige,Pessac
QP033022,33,Thouars,Talence
QP034001,34,Centre-ville,Béziers
QP034002,34,Iranget Grangette,Béziers
QP034003,34,Devèze,Béziers
QP034004,34,Celleneuve,Montpellier
QP034005,34,Mosson,Montpellier  Grabels
QP034006,34,Petit Bard Pergola,Montpellier
QP034007,34,Pas Du Loup - Val De Croze,Montpellier
QP034008,34,Cévennes,Montpellier
QP034009,34,Gély,Montpellier
QP034010,34,Figuerolles,Montpellier
QP034011,34,Lemasson,Montpellier
QP034012,34,Près D'Arènes,Montpellier
QP034013,34,Pompignane,Montpellier
QP034014,34,Aiguelongue,Montpellier
QP034015,34,Vert-Bois,Montpellier
QP034016,34,Les Deux Pins,Frontignan
QP034017,34,Ile De Thau,Sète
QP034018,34,Centre-ville - Ile Sud,Sète
QP034019,34,Centre-ville,Agde
QP034020,34,Centre-ville,Bédarieux
QP034021,34,Centre et périphérie,Lunel
QP034022,34,Centre-ville,Lodève
QP035001,35,La Découverte,Saint-Malo
QP035002,35,Villejean,Rennes
QP035003,35,Les Clôteaux - Champs Manceaux,Rennes
QP035004,35,Maurepas,Rennes
QP035005,35,Le Blosne,Rennes
QP035006,35,Cleunay,Rennes
QP035007,35,Bellevue,Redon
QP036001,36,Beaulieu,Châteauroux
QP036002,36,Saint-Jean - Saint-Jacques,Châteauroux
QP036003,36,Vaugirard - Saint-Christophe,Châteauroux
QP036004,36,Nation Bernardines,Issoudun
QP037001,37,La Verrerie,Amboise
QP037002,37,Rabière,Joué-lès-Tours
QP037003,37,Niqueux Bruère - Marcel Pagnol,La Riche
QP037004,37,Rabaterie,Saint-Pierre-des-Corps
QP037005,37,Fontaines,Tours
QP037006,37,Rochepinard,Tours
QP037007,37,Rives du Cher,Tours
QP037008,37,Europe,Tours
QP037009,37,Sanitas,Tours
QP037010,37,Maryse Bastié,Tours
QP037011,37,Bords de Loire,Tours La Riche
QP037012,37,Patte d'Oie - Malétrenne - Plaisance,Amboise
QP038001,38,La Luire - Viscose,Échirolles
QP038002,38,Champaret,Bourgoin-Jallieu
QP038003,38,Essarts - Surieux,Echirolles
QP038004,38,Village Sud,Echirolles
QP038005,38,Alpes Mail Cachin,Fontaine
QP038006,38,Mistral Lys Rouge Camine,Grenoble
QP038007,38,Villeneuve - Village olympique,Grenoble
QP038008,38,Teisseire Abbaye Jouhaux Châtelet,Grenoble
QP038009,38,Alma - Très Cloîtres - Chenoise,Grenoble
QP038010,38,Iles de Mars Olympiades,Le Pont-de-Claix
QP038011,38,Renaudie - Champberton - La Plaine,Saint-Martin-d'Hères
QP038012,38,Brunetière,Voiron
QP038013,38,Champfleuri,Bourgoin-Jallieu
QP038014,38,Saint-Hubert,L'Isle-d'Abeau
QP038015,38,Saint-Bonnet,Villefontaine
QP038016,38,Les Roches,Villefontaine
QP038017,38,La Plaine,Saint-Marcellin
QP038018,38,Vieux Péages - Les Ayencins,Le Péage-de-Roussillon
QP038019,38,Route de Sablons,Le Péage-de-Roussillon Roussillon
QP038020,38,Belmont Moulin Villette,Chavanoz
QP038021,38,Barbières,Chasse-sur-Rhône
QP038022,38,Plan des Aures,Pont-Évêque
QP038023,38,Estressin,Vienne
QP038024,38,Vallée de Gère,Vienne
QP038025,38,Les Genêts Cancane Charlemagne,Vienne Pont-Évêque
QP038026,38,Malissol,Vienne
QP039001,39,Mesnils Pasteur,Dole
QP039002,39,Marjorie - Les Mouillères,Lons-le-Saunier
QP039003,39,Les Avignonnets,Saint-Claude
QP039004,39,Chabot - Le Miroir,Saint-Claude
QP040001,40,Le Sablar,Dax
QP040002,40,Cuyès,Dax
QP040003,40,Le Gond,Dax
QP040004,40,Le Peyrouat,Mont-de-Marsan
QP040005,40,La Moustey,Saint-Pierre-du-Mont
QP041001,41,Kennedy - Coty - Croix Chevallier - Sarrazines,Blois
QP041002,41,Les Rottes,Vendôme
QP041003,41,Les Favignolles,Romorantin-Lanthenay
QP042001,42,Beauregard,Montbrison
QP042002,42,La Chapelle,Andrézieux-Bouthéon
QP042003,42,La Romière,Le Chambon-Feugerolles
QP042004,42,Montrambert Méline,Le Chambon-Feugerolles  La Ricamarie
QP042005,42,Le Dorlay - Les Pins - La Bachasse,La Grand-Croix Saint-Paul-en-Jarez
QP042006,42,Montcel - Centre-ville,La Ricamarie
QP042007,42,Grand pont,Rive-de-Gier
QP042008,42,Centre-ville,Rive-de-Gier
QP042009,42,Centre-ville,Saint-Chamond
QP042010,42,Saint-Julien - Crêt de l'Œillet,Saint-Chamond
QP042011,42,Cotonne Montferré,Saint-Étienne
QP042012,42,Tarentaize Beaubrun,Saint-Etienne
QP042013,42,Montreynaud,Saint-Etienne
QP042014,42,Crêt De Roc - Soleil,Saint-Etienne
QP042015,42,Quartiers Sud-Est,Saint-Etienne
QP042016,42,Terrenoire,Saint-Etienne
QP042017,42,Bourgogne,Roanne
QP042018,42,Le Parc,Roanne
QP042019,42,Mayollet,Roanne
QP043001,43,Val Vert,Le Puy-en-Velay
QP043002,43,Guitard,Le Puy-en-Velay
QP044001,44,Ville Ouest,Saint-Nazaire
QP044002,44,Petit Caporal,Saint-Nazaire
QP044003,44,Robespierre - Prézégat,Saint-Nazaire
QP044004,44,La Ville aux Roses,Châteaubriant
QP044005,44,Bellevue,Nantes Saint-Herblain
QP044006,44,Les Dervallières,Nantes Saint-Herblain
QP044007,44,Le Breil,Nantes
QP044008,44,Bout des Landes - Bout des Pavés,Nantes
QP044009,44,La Boissière,Nantes
QP044010,44,Port Boyer,Nantes
QP044011,44,Le Clos Toreau,Nantes
QP044012,44,Le Ranzay,Nantes
QP044013,44,Malakoff,Nantes
QP044014,44,Bottière Pin Sec,Nantes
QP044015,44,La Halvêque,Nantes
QP044016,44,La Petite Sensive,Nantes
QP044017,44,Plaisance,Orvault
QP044018,44,Château,Rezé
QP044019,44,Le Sillon de Bretagne,Saint-Herblain
QP045001,45,Les Chaises,Saint-Jean-de-la-Ruelle
QP045002,45,Vésine,Châlette-sur-Loing
QP045003,45,Le Plateau,Montargis Châlette-sur-Loing Villemandeur
QP045004,45,La Chaussée,Montargis
QP045005,45,Le Bourg - Chautemps,Montargis Châlette-sur-Loing
QP045006,45,Le Clos de la Grande Salle,Fleury-les-Aubrais
QP045007,45,Andrillons Ormes du mail,Fleury-les-Aubrais
QP045008,45,Lignerolles,Fleury-les-Aubrais
QP045009,45,Dauphine,Orléans
QP045010,45,La Source,Orléans
QP045011,45,Argonne,Orléans
QP045012,45,Blossières,Orléans
QP045013,45,Pont Bordeaux,Saint-Jean-de-Braye
QP045014,45,Les Trois Fontaines,Saint-Jean-de-la-Ruelle
QP045015,45,Le Hameau,Sully-sur-Loire
QP045016,45,Champ de La ville,Gien
QP045017,45,Montoire,Gien
QP045018,45,Quartiers Nord,Pithiviers
QP045019,45,Saint Aignan,Pithiviers
QP046001,46,Terre Rouge,Cahors
QP047001,47,Rodrigues - Barleté,Agen
QP047002,47,Montanou,Agen Pont-du-Casse
QP047003,47,Pin,Agen
QP047004,47,Bastide au bord du Lot,Sainte-Livrade-sur-Lot
QP047005,47,Bastide,Villeneuve-sur-Lot
QP047006,47,Baylac Gravette,Marmande
QP047007,47,Cœur De ville,Tonneins
QP049001,49,Belle Beille,Angers
QP049002,49,Roseraie,Angers
QP049003,49,Savary,Angers
QP049004,49,Grand Pigeon,Angers
QP049005,49,Monplaisir,Angers
QP049006,49,Hauts de Saint-Aubin,Angers
QP049007,49,Beauval Bedier Morellerie,Angers
QP049008,49,Le Grand Bellevue,Trélazé
QP049009,49,Bretagne Bostangis,Cholet
QP049010,49,Jean Monnet,Cholet
QP049011,49,Favreau Les Mauges,Cholet
QP049012,49,Colline Villeneuve,Cholet
QP049013,49,Chemin Vert - Hauts Quartiers,Saumur
QP050001,50,La Turfaudière,Avranches Saint-Martin-des-Champs
QP050002,50,Val Saint-Jean,Saint-Lô
QP050003,50,La Dollée,Saint-Lô
QP050004,50,Claires Fontaines,Coutances
QP050005,50,Les Provinces,Cherbourg-Octeville
QP050006,50,Maupas - Hautmarais - Brêche du Bois,Cherbourg-Octeville
QP050007,50,Fourches - Charcot,Cherbourg-Octeville
QP051001,51,Quartier prioritaire Ouest,Châlons-en-Champagne
QP051002,51,Quartier prioritaire Sud,Châlons-en-Champagne
QP051003,51,Croix Rouge,Reims
QP051004,51,Wilson - Maison Blanche - Chatillons,Reims
QP051005,51,Orgeval,Reims
QP051006,51,Europe,Reims
QP051007,51,Chalet - Solférino - Paul Petit,Reims
QP051008,51,Walbaum,Reims
QP051009,51,Epinettes - Maladrerie - Chemin des Bouchers,Reims
QP051010,51,Le Hamois,Vitry-le-François
QP051011,51,Rome Saint-Charles,Vitry-le-François
QP051012,51,Bernon,Epernay
QP052001,52,Rochotte,Chaumont
QP052002,52,Cavalier,Chaumont
QP052003,52,Quartier neuf,Langres
QP052004,52,Saint-Dizier,Saint-Dizier
QP053001,53,Les Fourches,Laval
QP053002,53,Kellermann,Laval
QP053003,53,Pavement - Charité - Mortier - Murat,Laval
QP054001,54,Mouzimpré,Essey-lès-Nancy
QP054002,54,Gouraincourt - Remparts,Longwy
QP054003,54,Concorde,Herserange
QP054004,54,Quartier Voltaire,Longwy
QP054005,54,Val Saint-Martin,Mont-Saint-Martin
QP054006,54,Quartier Les Mouettes,Champigneulles
QP054007,54,Quartier La Penotte,Frouard
QP054008,54,Bois Le Prêtre - Procheville,Pont-à-Mousson
QP054009,54,Centre Ancien,Lunéville
QP054010,54,Niederbronn - Zola,Lunéville
QP054011,54,Quartier la croix de Metz,Toul
QP054012,54,La Californie,Jarville-la-Malgrange
QP054013,54,Les Provinces,Laxou
QP054014,54,Plateau de Haye - Champ Le Bœuf,Maxéville Laxou
QP054015,54,Plateau de Haye Nancy - Maxéville,Nancy  Maxéville
QP054016,54,Haussonville - Les Nations,Nancy Vandoeuvre-lès-Nancy
QP054017,54,Saint Michel Jéricho - Grands moulins,Nancy Saint-Max Malzéville
QP054018,54,Cœur De Ville,Tomblaine
QP055001,55,Côte Sainte-Catherine,Bar-le-Duc Behonne
QP055002,55,Planchettes,Verdun
QP055003,55,Centre Verdun - Cité verte,Verdun
QP056001,56,Gumenen Goaner - Parco Pointer,Auray
QP056002,56,Les 3 K : Kennedy - Kergohic - Kerihouais,Hennebont
QP056003,56,Centre-ville Kerfrehour,Lanester
QP056004,56,Kervenanec Nord,Lorient
QP056005,56,Polygone Frebault,Lorient
QP056006,56,Bois du Château,Lorient
QP056007,56,Kerguillette Petit Paradis,Lorient
QP056008,56,Kercado,Vannes
QP056009,56,Ménimur,Vannes
QP057001,57,Quartier Saravis,Sarrebourg
QP057002,57,La Cité,Behren-lès-Forbach
QP057003,57,Wiesberg Hommel,Forbach
QP057004,57,Bellevue,Forbach
QP057005,57,Quartier Rémelange,Fameck
QP057006,57,Quartier Ouest,Uckange
QP057007,57,Côte des Roses,Thionville
QP057008,57,Quartier Saint-Pierre - La Millaire,Thionville
QP057009,57,Quartier Terrasses des Provinces,Yutz
QP057010,57,Beausoleil,Sarreguemines
QP057011,57,Vieille ville et ville haute,Sarreguemines
QP057012,57,La Chapelle,Hombourg-Haut Freyming-Merlebach
QP057013,57,Quartier République,Guénange
QP057014,57,Cité du Furst,Folschviller Valmont
QP057015,57,Carrière Wehneck,Saint-Avold
QP057016,57,Quartier Maroc,Creutzwald
QP057017,57,Quartier Breckelberg Fatima,Creutzwald
QP057018,57,Bellecroix,Metz
