CODE QUARTIER,DÉPARTEMENT	,COMMUNES CONCERNÉES
QP089003,89,Les Rosoirs,Auxerre
QP089004,89,Pompidou-Ravel,Migennes
QP089005,89,La Madeleine,Joigny
QP089006,89,Arènes - Champs Plaisants,Sens
QP089007,89,Les Chaillots,Sens
QP090001,90,Bougenel - Mulhouse,Belfort
QP090002,90,Les Glacis du Château,Belfort
QP090003,90,Dardel La Méchelle,Belfort
QP090004,90,Résidences Le Mont,Belfort Bavilliers
QP090005,90,Arsot Ganghoffer,Offemont  Valdoie
QP091001,91,Le Bois des Roches,Saint-Michel-sur-Orge
QP091002,91,Les Tarterêts,Corbeil-Essonnes
QP091003,91,Montconseil,Corbeil-Essonnes
QP091004,91,La Nacelle,Corbeil-Essonnes
QP091005,91,Rive Droite,Corbeil-Essonnes Saint-Germain-lès-Corbeil
QP091006,91,Quartier Ouest,Les Ulis
QP091007,91,Les Ardrets,Brétigny-sur-Orge
QP091008,91,Les Aunettes,Fleury-Mérogis
QP091009,91,La Grange aux Cerfs,Sainte-Geneviève-des-Bois
QP091010,91,Les Aunettes,Sainte-Geneviève-des-Bois
QP091011,91,Les Hautes Mardelles,Brunoy
QP091012,91,Plaine - Cinéastes,Epinay-sous-Sénart
QP091013,91,Le Vieillet,Quincy-sous-Sénart
QP091014,91,Bel Air - Rocade,Longjumeau
QP091015,91,Bièvre Poterne - Zola,Massy Verrières-le-Buisson
QP091016,91,Le Canal,Courcouronnes
QP091017,91,Les Pyramides,Evry Courcouronnes
QP091018,91,Les Aunettes,Evry
QP091019,91,Champtier Du Coq,Evry
QP091020,91,Petit Bourg,Evry
QP091021,91,Le Parc Aux Lièvres,Evry
QP091022,91,Les Passages,Evry
QP091023,91,Les Epinettes,Evry
QP091024,91,Champs Elysées,Evry
QP091025,91,Le Plateau,Ris-Orangis
QP091026,91,La Grande Borne - Le Plateau,Grigny Viry-Châtillon
QP091027,91,Grigny 2,Grigny
QP091028,91,Le Noyer Renard,Athis-Mons
QP091029,91,Clos Nollet,Athis-Mons
QP091030,91,Grand Vaux,Savigny-sur-Orge
QP091031,91,Les Bergeries,Draveil Vigneux-sur-Seine
QP091032,91,La Forêt,Montgeron
QP091033,91,La Croix Blanche,Vigneux-sur-Seine
QP091034,91,La Prairie de l'Oly,Vigneux-sur-Seine Montgeron
QP091035,91,Quartier Sud,Arpajon
QP091036,91,Le Tiec,Egly Arpajon
QP091037,91,Plateau de Guinette,Etampes
QP091038,91,La Croix de Vernailles,Etampes
QP091039,91,Opéra,Massy
QP092001,92,Bac d'Asnières - Beaujon,Clichy
QP092002,92,Université I,Nanterre
QP092003,92,Université II,Nanterre
QP092004,92,Noyer Doré,Antony
QP092005,92,Cité Jardins,Châtenay-Malabry
QP092006,92,Chemin de L'île,Nanterre
QP092007,92,Le Parc,Nanterre
QP092008,92,Abbé Grégoire - Mirabeau,Bagneux
QP092009,92,Tertres-Cuverons,Bagneux
QP092010,92,Les Courtilles,Gennevilliers
QP092011,92,Fossés Jean,Colombes
QP092012,92,Hauts d'Asnières,Asnières-sur-Seine
QP092013,92,Agnettes,Asnières-sur-Seine Gennevilliers
QP092014,92,Entrée de Ville,Clichy
QP092015,92,Petit Colombes,Colombes
QP092016,92,Petit Nanterre,Nanterre
QP092017,92,Grésillons Voltaire I - Gabriel Péri,Gennevilliers  Asnières-sur-Seine
QP092018,92,Grésillons Voltaire II - Grésillons,Gennevilliers  Asnières-sur-Seine
QP092019,92,Aire 2029,Villeneuve-la-Garenne
QP092020,92,Cité des Musiciens,Bagneux
QP092021,92,Les Musiciens,Colombes
QP093001,93,Secteur Gare - Aviatic,Le Bourget
QP093002,93,Secteur Saint-Nicolas - Guynemer - Gai Logis,Le Bourget
QP093003,93,Haut Clichy - Centre-ville - Bosquets - Lucien Noel,Clichy-sous-Bois Montfermeil
QP093004,93,Quartier Avenir Parisien,Drancy La Courneuve
QP093005,93,Quartiers La Muette - Village Parisien,Drancy Bobign
QP093006,93,Quartiers Economie - Les Oiseaux,Drancy Le Blanc-Mesnil
QP093007,93,Thorez-Larivière-Langevin-Moulin-Allende,Dugny Garges-lès-Gonesse
QP093008,93,La Capsulerie,Bagnolet
QP093009,93,Le Plateau - Les Malassis - La Noue,Bagnolet Montreuil
QP093010,93,Les Courtillières - Pont-De-Pierre,Pantin Bobigny Aubervilliers
QP093011,93,Quartier Salengro - Gaston Roulaud - Centre-ville,Bobigny Drancy
QP093012,93,Blanqui,Bondy
QP093013,93,Marnaudes - Fosse Aux Bergers - La Sablière,Villemomble Bondy
QP093014,93,Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud,BondyBobigny Le Blanc-Mesnil Noisy-le-Sec
QP093015,93,Trois Communes - Fabien,Montreuil Romainville Noisy-le-Sec
QP093016,93,Branly - Boissière,Montreuil
QP093017,93,Boissière - Saussaie-Beauclaire,Rosny-sous-Bois
QP093018,93,Bel Air - Grands Pêchers - Ruffins - Le Morillon,Montreuil
QP093019,93,Jean Moulin - Espoir,Montreuil
QP093020,93,Béthisy,Noisy-le-Sec
QP093021,93,Le Londeau,Noisy-le-Sec
QP093022,93,La Boissière,Noisy-le-Sec
QP093023,93,Sept Arpents - Stalingrad,Pantin Le Pré-Saint-Gervais
QP093024,93,Quatre Chemins,Pantin
QP093025,93,Marcel Cachin,Romainville
QP093026,93,Quartier de l'Horloge,Romainville
QP093027,93,Gagarine,Romainville
QP093028,93,Franc Moisin - Cosmonautes - Cristino Garcia - Landy,Aubervilliers La Courneuve Saint-Denis
QP093029,93,Centre-ville,Epinay-sur-Seine
QP093030,93,Orgemont,Epinay-sur-Seine
QP093031,93,La Source - Les Presles,Epinay-sur-Seine
QP093032,93,Thorez-Géraux,L'Ile-Saint-Denis
QP093033,93,Méchin - Bocage,L'Ile-Saint-Denis
QP093034,93,Paul-Cachin,L'Ile-Saint-Denis
QP093035,93,Centre-ville - Chatenay - Maroc - Poètes,Pierrefitte-sur-Seine Stains
QP093036,93,Joncherolles - Fauvettes,Pierrefitte-sur-Seine Villetaneuse
QP093037,93,Plaine - Landy - Bailly,Saint-Denis
QP093038,93,Pleyel,Saint-Denis
QP093039,93,Grand Centre - Sémard,Saint-Denis
QP093040,93,Floréal Saussaie Allende,Saint-Denis Stains
QP093041,93,Plaine Trezel - Chaudron,Saint-Denis
QP093042,93,Saint-Rémy - Joliot Curie - Bel Air,Saint-Denis
QP093043,93,Langevin - Lavoisier - Tartres - Allende,Saint-Denis  Pierrefitte-sur-Seine
QP093044,93,Cordon,Saint-Ouen
QP093045,93,Michelet - Les Puces - Debain,Saint-Ouen
QP093046,93,Vieux Saint-Ouen,Saint-Ouen
QP093047,93,Pasteur - Arago - Zola,Saint-Ouen
QP093048,93,Centre Elargi,Stains
QP093049,93,Quartier Politique de la ville,Villetaneuse
QP093050,93,Rougemont,Sevran
QP093051,93,Montceleux - Pont Blanc,Sevran
QP093052,93,Parc de la Noue - Picasso - Pasteur - Europe - Merisiers,Villepinte
QP093053,93,Tremblay Grand Ensemble,Tremblay-en-France
QP093054,93,Les Beaudottes,Aulnay-sous-Bois Sevran
QP093055,93,Secteur Nord Pont-Yblon,Le Blanc-Mesnil  Dugny
QP093056,93,Jean Moulin - Jean Bouin,Gagny
QP093057,93,Les Peupliers,Gagny
QP093058,93,Val Coteau,Neuilly-sur-Marne
QP093059,93,Mont d'Est - Palacio,Noisy-le-Grand
QP093060,93,Pavé-Neuf,Noisy-le-Grand
QP093061,93,Champy - Hauts Bâtons,Noisy-le-Grand
QP093062,93,Pré-Gentil,Rosny-sous-Bois
QP093063,93,Marnaudes - Bois-Perrier,Rosny-sous-Bois
QP094001,94,Pierre et Marie Curie,Ivry-sur-Seine
QP094002,94,Irlandais - Paul Vaillant Couturier - Cherchefeuille,Arcueil
QP094003,94,La Haie Griselle - La Hêtraie,Boissy-Saint-Léger Limeil-Brévannes
QP094004,94,Chantereine,Alfortville
QP094005,94,Mont Mesly - La Habette - Coteaux Du Sud,Créteil
QP094006,94,Petit Pré - Sablières,Créteil
QP094007,94,Les Bleuets,Créteil
QP094008,94,Gagarine,Ivry-sur-Seine
QP094009,94,Ivry Port,Ivry-sur-Seine
QP094010,94,Monmousseau,Ivry-sur-Seine
QP094011,94,Colonel Fabien,Vitry-sur-Seine
QP094012,94,Centre-ville : Defresne - Vilmorin - Robespierre,Vitry-sur-Seine
QP094013,94,Commune de Paris - 8 Mai 1945,Vitry-sur-Seine
QP094014,94,Balzac,Vitry-sur-Seine
QP094015,94,Péri - Schuman Bergonié,Gentilly Le Kremlin-Bicêtre Arcueil
QP094016,94,Chaperon Vert,Gentilly Arcueil
QP094017,94,Jardins Parisiens,L'Haÿ-les-Roses
QP094018,94,Lallier,L'Haÿ-les-Roses
QP094019,94,Jardins Parisiens - Stade,L'Haÿ-les-Roses
QP094020,94,Alexandre Dumas,Villejuif
QP094021,94,Lebon - Hochart - Mermoz (Lozaits Sud),Villejuif L'Haÿ-les-Roses
QP094022,94,Grimau - Armand Gouret,Villejuif
QP094023,94,Fabien,Bonneuil-sur-Marne
QP094024,94,Les Quatre Cités,Champigny-sur-Marne
QP094025,94,L'Egalité,Champigny-sur-Marne
QP094026,94,Les Mordacs,Champigny-sur-Marne
QP094027,94,Le Bois L'Abbé,Champigny-sur-Marne Chennevières-sur-Marne
QP094028,94,Le Plateau,Champigny-sur-Marne
QP094029,94,La Redoute (Le Fort-Michelet),Fontenay-sous-Bois
QP094030,94,Les Larris,Fontenay-sous-Bois
QP094031,94,Quartier Est,Orly
QP094032,94,Quartier Sud,Choisy-le-Roi
QP094033,94,Rives de la Marne,Saint-Maur-des-Fossés
QP094034,94,Les Grands Champs,Thiais
QP094035,94,Polognes-Centre-ville - Le Plateau - Saint-Martin,Valenton Villeneuve-Saint-Georges Limeil-Brévannes
QP094036,94,Lutèce- Bergerie,Valenton
QP094037,94,Centre-ville,Villeneuve-Saint-Georges
QP094038,94,Le Quartier Nord,Villeneuve-Saint-Georges Valenton
QP094039,94,Le Quartier Nord- Les Tours,Villeneuve-Saint-Georges
QP094040,94,Triage,Villeneuve-Saint-Georges
QP094041,94,Portes de Paris - Les Hautes-Noues,Villiers-sur-Marne
QP094042,94,Cité Jardin,Cachan
QP095001,95,Noyer Crapaud,Soisy-sous-Montmorency
QP095002,95,Justice - Butte Blanche,Argenteuil Bezons
QP095003,95,Champioux,Argenteuil
QP095004,95,Brigadières - Henri Barbusse,Argenteuil Bezons
QP095005,95,Val d'Argent Nord,Argenteuil
QP095006,95,Val d'Argent Sud,Argenteuil
QP095007,95,Champagne,Argenteuil
QP095008,95,Joliot Curie,Argenteuil
QP095009,95,Centre-ville,Argenteuil
QP095010,95,Delaune Masson Colomb,Bezons
QP095011,95,Axe Majeur - Horloge,Cergy
QP095012,95,La Sébille,Cergy
QP095013,95,Les Dix Arpents,Eragny
QP095014,95,Le Moulinard,Osny
QP095015,95,Marcouville,Pontoise Osny
QP095016,95,Louvrais,Pontoise Osny
QP095017,95,Chennevières - Parc Le Nôtre,Saint-Ouen-l'Aumône
QP095018,95,Clos Du Roi,Saint-Ouen-l'Aumône
QP095019,95,Les Toupets,Vauréal Jouy-le-Moutier
QP095020,95,Les Lévriers,Montmagny
QP095021,95,Centre-ville,Montmagny
QP095022,95,Mare des Noues,Franconville  Ermont
QP095023,95,Montédour,Franconville
QP095024,95,Les Naquettes,Herblay
QP095025,95,Les Frances,Montigny-lès-Cormeilles
QP095026,95,Clos Saint Pierre Elargi,Pierrelaye
QP095027,95,Bas Des Aulnaies - Carreaux Fleuris - Fontaine Bertin,Sannois Franconville
QP095028,95,Les Pins,Taverny
QP095029,95,Les Sarments et Les Nérins,Taverny
QP095030,95,Cottage Elargi,Goussainville
QP095031,95,Grandes Bornes Elargies,Goussainville
QP095032,95,Dame Blanche,Garges-lès-Gonesse
QP095033,95,Lochères,Sarcelles
QP095034,95,Carreaux - Fauconnière - Marronniers - Pôle Gare,Arnouville-lès-Gonesse Gonesse Villiers-le-Bel
QP095035,95,Saint Blin,Gonesse
QP095036,95,Rosiers Chantepie,Sarcelles
QP095037,95,Village - Mozart,Sarcelles
QP095038,95,Village - Le Puits La Marlière - Derrière les murs de Monseigneur,Villiers-le-Bel
QP095039,95,Les Chênes,Ermont
QP095040,95,Le Village,Persan
QP095041,95,Les Raguenets,Saint-Gratien Argenteuil
